mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4671936569280580,2021-08-19 15:59,星空陨落之夜月长叹_1987,https://weibo.com/1661857242?refer_flag=1001030103_,//@吴小杰WJie:未来的时代，人人都是创作者！华为手机影像功能一直在线，夜景、微距、动态拍摄…...都hold住！#世界摄影日#，一起探索手机影像的更多可能性#新影像不止所见#,腾讯黑鲨3S,,,,https://weibo.com/1661857242/KuboICWiM?refer_flag=1001030103_,0,0,0
4671935345069175,2021-08-19 15:54,株洲魅,https://weibo.com/1699500804?refer_flag=1001030103_,#株洲生活# 华为手机专属功能，通过#华为手机#的智慧识屏为微信聊天记录的头像和名字自动打马赛克，省事！   L株洲魅的微博视频 ​,HarmonyOS Device,,,,https://weibo.com/1699500804/KubmKlgIT?refer_flag=1001030103_,1,0,0
4671934259005463,2021-08-19 15:49,两个顾先生66666,https://weibo.com/2621385714?refer_flag=1001030103_,#肖战晒live怼脸拍# 肖战@X玖少年团肖战DAYTOY 终于放自拍啦，那个水平是十年如一日的坚持，这也算是个“优点”了吧，有总比没有好，帅哥还是那个帅哥啊啊啊啊啊啊啊！容我尖叫2秒。为什么华为手机出图就不会动咧，感谢分享会动的肖战的姐妹们，动图收起来！！！#肖战时影# ​,HUAWEI Mate30 Pro 5G,,,https://wx3.sinaimg.cn/thumb150/002Rp4aKly1gtm5azmoyyj61jk223b2902.jpg https://wx3.sinaimg.cn/thumb150/002Rp4aKly1gtm5b12cm4j62c02c0kjm02.jpg https://wx4.sinaimg.cn/thumb150/002Rp4aKly1gtm5ayo0ktg60dq0ilnpi02.jpg,https://weibo.com/2621385714/KubkZBMJp?refer_flag=1001030103_,0,0,0
4671932475115391,2021-08-19 15:42,峰峰呃呃,https://weibo.com/7617692426?refer_flag=1001030103_,//@科技的那些事:很触动，今天是#世界摄影日#，这些用华为手机拍摄及编辑的照片，在不同模式下，以独特视野记录自然万象与人间百态。上个月，华为正式启动2021新影像大赛，鼓励大家用心去体验影像创作和分享带来的乐趣，用影故事。 投稿方式：登陆O网页链接上传摄影作品。#新影像不止所见#,realme X全屏敢越级,,,,https://weibo.com/7617692426/Kubi7lsKj?refer_flag=1001030103_,0,0,0
4671932325433132,2021-08-19 15:42,无所事事顺,https://weibo.com/7606632577?refer_flag=1001030103_,//@科技的那些事:很触动，今天是#世界摄影日#，这些用华为手机拍摄及编辑的照片，在不同模式下，以独特视野记录自然万象与人间百态。上个月，华021新影像大赛，鼓励大家用心去体验影像创作和分享带来的乐趣，用影像留住你的故事。 投稿方式：登陆O网页链接上传摄影作品。#新影像不止所见#,realme X全屏敢越级,,,,https://weibo.com/7606632577/KubhSmNpa?refer_flag=1001030103_,0,0,0
4671931955284472,2021-08-19 15:40,雨小肥猫,https://weibo.com/5928494866?refer_flag=1001030103_,没有华为手机不上传了，其他手机也拍不好,新浪微博4G版,,,,https://weibo.com/5928494866/KubhhmaJq?refer_flag=1001030103_,0,0,0
4671931557610455,2021-08-19 15:39,喝酒吃药了,https://weibo.com/7571714974?refer_flag=1001030103_,//@科技的那些事:很触动，今天是#世界摄影日#，这些用华为手机拍摄及编辑的照片，在不同模式下，以独特视野记录自然万象与人间百态。上个月，华为正式启动2021新影像大赛，鼓励大家用心去体验影像创作和分享带来的乐趣，用影像留住你的故事。 投稿方式：登陆。#新影像不止所见#,realme X全屏敢越级,,,,https://weibo.com/7571714974/KubgDvVPh?refer_flag=1001030103_,0,0,0
4671931381717068,2021-08-19 15:38,随便起什么的,https://weibo.com/7576922895?refer_flag=1001030103_,//@科技的那些事:很触动，今天是#世界摄影日#，这些用华为手机拍摄及编辑的照片，在不同模式下，以独特视野记录自然万象与人间百态。上个月，华为正式启动2021新影像大赛，鼓励大家用心去体验影像创作和分享带来的乐趣，用影像留住你的故事。 投稿方式：登陆O网页链接上。#新影像不止所见#,realme X全屏敢越级,,,,https://weibo.com/7576922895/Kubgm7cGE?refer_flag=1001030103_,0,0,0
4671931218138456,2021-08-19 15:37,离笑兮,https://weibo.com/2582039170?refer_flag=1001030103_,华为手机克隆竟然不能转移聊天记录？ ​,HUAWEI P40 5G,,,https://wx4.sinaimg.cn/orj360/99e6ca82gy1gtm5017x9wj21400u0jvn.jpg,https://weibo.com/2582039170/Kubg5y9bq?refer_flag=1001030103_,0,0,0
4671928839704945,2021-08-19 15:28,娘口三三快来我怀里,https://weibo.com/6354378011?refer_flag=1001030103_,sky光遇想问问用华为手机的朋友们还能分屏吗，我分屏就成这样了，它好像分了又好像没分 ​,sky光遇超话,,,https://wx2.sinaimg.cn/orj360/006W2jZVly1gtm4pv9pplj60u01uo44d02.jpg,https://weibo.com/6354378011/KubcfEIHn?refer_flag=1001030103_,0,0,0
4671928327734703,2021-08-19 15:26,越来越有q,https://weibo.com/7625770023?refer_flag=1001030103_,真的太棒了//@吴小杰WJie:未来的时代，人人都是创作者！华为手机影像功能一直在线，夜景、微距、动态拍摄…...都hold住！#世界摄影日#，一起探索手机影像的更多可能性#新影像不止所见#,iPhone 6s Plus,,,,https://weibo.com/7625770023/Kubbqws9h?refer_flag=1001030103_,0,0,0
