mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4750227698877451,2022-03-23 7:00,人民网科普,https://weibo.com/5381598609?refer_flag=1001030103_,【支援防疫“守护天使”的贴心大哥章程】白天送特急文件，连夜接送防疫物资，数次冒着生命危险送确诊同事上医院……2020年除夕夜是武汉疫情最为严峻的时刻，中国人寿寿险武汉分公司退伍老兵章程主动请缨住进了办公室，临时当起了“专职”司机，承担起防疫期间各项繁杂的运送任务，奔波在武汉的街头巷尾。而他这一住、一干，就是近两个月。疫情不断升级后，救护车紧缺，章程还会开车帮忙护送病患，即使半夜被叫醒也毫无怨言。让我们为这些默默无闻的奉献者点赞！O章程：勇于担当，抗疫前线送希望 收起全文d,微博 weibo.com,,,https://wx1.sinaimg.cn/orj360/005ScDDzly1h0jrgwjs5xj30zk0k0wkn.jpg https://wx4.sinaimg.cn/orj360/005ScDDzly1h0jrgta0joj30zk0k079e.jpg https://wx2.sinaimg.cn/orj360/005ScDDzly1h0jrgtkdypj30zk0k0dke.jpg https://wx1.sinaimg.cn/orj360/005ScDDzly1h0jrgxey6hj30zk0k00z2.jpg,https://weibo.com/5381598609/Ll4EpBfqH?refer_flag=1001030103_,0,0,0
4750206695116893,2022-03-23 5:36,江西是个好地方官方微博,https://weibo.com/7642508001?refer_flag=1001030103_,#武汉热干面为江西爆灯加油#武汉为江西爆灯加油助威、黄鹤楼、长江大桥亮灯、致敬奋斗在抗击疫情的逆行英雄们、共克时艰、守望相助、我们携手同行、此刻感到无比的感动，共同助力疫情防控。#江西是个好地方# #江西日志# L小斌斌学长的微博视频 ​,微博视频号,,,,https://weibo.com/7642508001/Ll46xlt8x?refer_flag=1001030103_,0,0,0
4750198611378808,2022-03-23 5:04,微博任丘,https://weibo.com/3865899803?refer_flag=1001030103_,【记录现在 告诉未来】听我们说谢谢你——来自昌盛里社区工作人员的心声#任丘新闻# 自2019年年末的武汉疫情开始，新冠疫情陆续在多地散发，时不时成局部爆破状态，封城，全员核酸检测........时至今日未能平息。今年3月8日，沧州市发现第一例新冠病毒感染者以后，运河区、新华区、沧县、河间、青县、肃宁，再加上北面的廊坊、天津疫情，任丘，我们的家所在的城市，被疫情风险区包围了。虽然直到目前，我市没有发现任何感染病例，但为了保护广大市民，市委市政府还是按照上级部署要求，作出封城的决定，并于3月13日凌晨四点，开始了第一轮全民核酸筛查！ 2沧州 收起全文d,新版微博 weibo.com,http://t.cn/RJZk0ky,沧州,https://wx1.sinaimg.cn/thumb150/e66cf31bly1h0jtvpfkxcj20u00o9aj9.jpg https://wx3.sinaimg.cn/thumb150/e66cf31bly1h0jtvrgl25j20u01407jw.jpg https://wx2.sinaimg.cn/orj360/e66cf31bly1h0jtvtgkhgj20u00mi7e2.jpg https://wx4.sinaimg.cn/thumb150/e66cf31bly1h0jtvv99fgj20u00miaii.jpg,https://weibo.com/3865899803/Ll3Tv5MGQ?refer_flag=1001030103_,0,0,0
4750197505396108,2022-03-23 5:00,武汉机场楚天情,https://weibo.com/2282629480?refer_flag=1001030103_,#机场防疫# 低风险地区非重点人员凭健康码“绿码”，且体温检测未见异常，佩戴口罩，方可进入武汉机场航站楼。机场与航空公司不属于同一单位，政策执行会有差异，乘机的旅客，建议您务必联系航空公司是否还有其他相关要求。由于疫情变化，来汉返汉政策可能会随时作出调整，防疫要求以现场执行为准，可拨打武汉疫情防控专线027-12345转0。 收起全文d,微博 weibo.com,,,https://wx4.sinaimg.cn/orj360/880e2968gy1h0jifjr4rbj20u016gju5.jpg https://wx1.sinaimg.cn/orj360/880e2968gy1h0jifiv7i0j20z90k0wfz.jpg,https://weibo.com/2282629480/Ll3RImDM0?refer_flag=1001030103_,0,0,0
4750197505395479,2022-03-23 5:00,武汉发布,https://weibo.com/2759348142?refer_flag=1001030103_,【#这版消防沙画干货满满#】#应急科普#  疫情居家期间，应注意哪些消防安全呢？蓝朋友特意制作了一版消防公益沙画，将居家防火知识与沙画艺术相结合，借助艺术传达满满的干货，你记住了么～#蓝v视界# L中国消防的微博视频 ​,微博视频号,,,,https://weibo.com/2759348142/Ll3RImDBR?refer_flag=1001030103_,1,0,0
4750167302212634,2022-03-23 3:00,武汉交警,https://weibo.com/2146327684?refer_flag=1001030103_,【最美“守城人”！抗疫特警夜间打擒敌拳取暖御寒】#疫情当前 警察不退# 近日，江苏，苏州高速出口，夜间特警打擒敌拳取暖御寒。网友:感谢他们的守护！@中国警察网 L武汉交警的微博视频 ​,微博视频号,,,,https://weibo.com/2146327684/Ll3509hBE?refer_flag=1001030103_,0,0,0
4750137111610370,2022-03-23 1:00,武汉机场楚天情,https://weibo.com/2282629480?refer_flag=1001030103_,#乘机小贴士# 武汉机场遵照湖北防疫指挥部发布《新型冠状病毒感染肺炎疫情防控指挥部通告》要求：离汉人员凭健康码绿码安全有序流动。武汉天河机场提醒携带小朋友的旅客注意，小朋友出行也需要申领健康码或到社区（村）开具医学健康证明（加盖公章），您也可以下载“鄂汇办”提前完成健康码绿码的申领，以免耽误您的行程。 收起全文d,微博 weibo.com,,,https://wx3.sinaimg.cn/orj360/880e2968gy1h0jiey1fpzj20u016gju5.jpg https://wx2.sinaimg.cn/orj360/880e2968gy1h0jiey5ol4j20z90k0wfz.jpg,https://weibo.com/2282629480/Ll2ij6KVI?refer_flag=1001030103_,0,0,0
4750134947352306,2022-03-23 0:51,新浪艺术,https://weibo.com/1880233081?refer_flag=1001030103_,#《钟南山》入藏国博# 发生在2020年春天的疫情，至今仍然没有结束，在武汉封城期间，钟南山院士在接受采访时忽然哽咽，眼中含泪，这一画面曾经触动了无数国人。艺术家冯少协随即以此为原型进行创作，用半个月时间完成巨幅油画《中国共产党党员——钟南山》。画面中钟南山院士的眼眶虽然噙满泪水，眼神中却充满坚毅，这幅作品被中国美术馆永久收藏。据悉，近日，冯少协受邀再次创作同题作品，并被中国国家博物馆永久收藏。#艺术聚焦# O《钟南山》入藏国家博物馆 （来源：澎湃新闻） 收起全文d,iPhone客户端,,,https://wx4.sinaimg.cn/orj360/0023fgw1ly1h0jmkopb8sj60go0d30ty02.jpg,https://weibo.com/1880233081/Ll2eOuQFA?refer_flag=1001030103_,1,0,0
4750116927570224,2022-03-23 9:39,凤牌茶叶旗舰店官微,https://weibo.com/2628823013?refer_flag=1001030103_,【疫情下，茶有什么用？】近期疫情反反复复，国内多地都相继出现了大规模的传染情况。面对突如其来的疫情更加让我们懂得日常养生的重要性，在疫情常态化的今天，喝茶是提高免疫力的最好习惯。此前武汉疫情六个茶叶市场，从业人员感染数0，荔湾芳村的10个茶叶市场，三次核酸检测从业人员感染数也是0，无论年龄性别，不管男女老少，喝茶都是很适合的。许多人爱喝茶，看中的都是茶带来的健康的价值。坚持长期喝茶的人，肯定都能感觉到自己身体在发生变化，却又很难说出来个道理。一、美容养颜长期生活在雾霾之下，长时间对着电脑工作的人，如果能够长期饮茶，可以很大程度上减轻伤害。每日饮茶2~3杯，让体内维持在足够的茶多酚含量水平，你可能并不觉察体内的抗氧化、清除自由基的进程，但是保持每日饮茶的习惯会让你不知不觉延缓衰老。二、纤体减肥许多爱美女性都爱喝茶，儿茶素通过抑制肠道中的消化酶来减少肠道组织对碳水化合物、脂类的吸收起到抗肥胖的作用；茶多酚可通过抑制体内脂肪沉积和促进多余脂肪的分解实现对抗肥胖。三、深层排毒我国民间一直有饮茶治疗腹胀、痢疾、不消食的传统。例如黑茶有效成分在抑制人体肠胃中有害微生物生长的同时，又能促进有益菌的生长繁殖，具有良好的调整肠胃功能的作用。黑茶中独特的益生菌和功能因子茶多酚、儿茶素化合物等多种成分，参与人体内新陈代谢，对人体内脏具有特殊的净化功能。饮茶可以生津止渴，消暑，解毒，通便。饮茶能改善肠道微生物环境，具有调理肠胃的功能。四、抗衰老茶多酚又可分四类物质：黄烷醇类(儿茶素类)、花色素类(花白素和花青素)、花黄素类(黄酮及黄酮醇类)、缩酸及缩酚酸类。茶多酚的功效是多方面的，它是一种很强的抗氧剂，可有效清除体内的氧自由基，如花青素可以抑制油脂性过氧化物的全阶段溢出，可以阻止细胞的退化、衰老。五、提高免疫力“茶”从字面上来看，草字头代表二十，下面是八和十，一撇一捺又是一个八，总的加起来就是一百零八岁，所以有人把喝茶能长寿的人称之为“茶寿”。茶叶本身含有茶多酚、咖啡因、儿茶素等有机化合物以及多种维生素，能够防病、提高免疫力、抗衰老。茶叶像生命守护神，一直呵护人类的健康使命。每日饮茶3杯，培养一个良好的生活习惯，把健康的生活理念分享给更多的人，也是一种美德。 收起全文d,微博 weibo.com,,,https://wx4.sinaimg.cn/orj360/9cb0a7e5ly1h0jkhuyybnj20u00k0406.jpg https://wx1.sinaimg.cn/orj360/9cb0a7e5ly1h0jkhwtlp6j20u00k075e.jpg https://wx2.sinaimg.cn/orj360/9cb0a7e5ly1h0jkhyux2qj20j60ivjsd.jpg https://wx3.sinaimg.cn/orj360/9cb0a7e5ly1h0jki0xnb5j20j60cmt9u.jpg https://wx3.sinaimg.cn/thumb150/9cb0a7e5ly1h0jki2mil7j20p00godku.jpg https://wx2.sinaimg.cn/orj360/9cb0a7e5ly1h0jki4ebbhj20u00udq4r.jpg,https://weibo.com/2628823013/Ll1LKvLmo?refer_flag=1001030103_,1,0,0
4749932143837669,2022-03-22 21:25,鹰潭发布,https://weibo.com/3811261522?refer_flag=1001030103_,#武汉热干面为江西爆灯加油#武汉为江西爆灯加油助威、黄鹤楼、长江大桥亮灯、致敬奋斗在抗击疫情的逆行英雄们、共克时艰、守望相助、我们携手同行、此刻感到无比的感动，共同助力疫情防控。#V旅行嘉游赣#  L小斌斌学长的微博视频 ​ ​​​,iPhone客户端,,,,https://weibo.com/3811261522/LkWXIg6lT?refer_flag=1001030103_,0,0,0
